P,t,tprime,t_perp,J_perp,lambda_hop,lambda_exch,V_d_eff,exch_minus_hop,C_coh,F_comp
0.000000,0.430000,-0.172000,0.090000,0.010000,0.636581,0.212207,0.848787,-0.424374,0.221671,1.000000
0.500000,0.432485,-0.173340,0.090744,0.010166,0.637981,0.215729,0.853710,-0.422252,0.237848,0.995074
1.000000,0.434924,-0.174665,0.091476,0.010331,0.639016,0.219223,0.858239,-0.419793,0.255345,0.990289
1.500000,0.437319,-0.175977,0.092196,0.010494,0.639623,0.222691,0.862314,-0.416933,0.274229,0.985637
2.000000,0.439673,-0.177276,0.092906,0.010656,0.639750,0.226133,0.865883,-0.413618,0.294562,0.981112
2.500000,0.441988,-0.178563,0.093606,0.010817,0.639357,0.229550,0.868908,-0.409807,0.316394,0.976707
3.000000,0.444264,-0.179838,0.094295,0.010977,0.638425,0.232945,0.871370,-0.405480,0.339769,0.972415
3.500000,0.446505,-0.181102,0.094975,0.011136,0.636960,0.236317,0.873277,-0.400643,0.364714,0.968231
4.000000,0.448710,-0.182356,0.095646,0.011294,0.634997,0.239668,0.874664,-0.395329,0.391241,0.964150
4.500000,0.450883,-0.183600,0.096308,0.011451,0.632596,0.242998,0.875594,-0.389598,0.419340,0.960167
5.000000,0.453023,-0.184834,0.096962,0.011607,0.629844,0.246308,0.876153,-0.383536,0.448976,0.956277
5.500000,0.455133,-0.186058,0.097608,0.011762,0.626845,0.249600,0.876444,-0.377245,0.480085,0.952477
6.000000,0.457213,-0.187275,0.098246,0.011916,0.623707,0.252873,0.876580,-0.370834,0.512571,0.948761
6.500000,0.459265,-0.188482,0.098876,0.012070,0.620542,0.256129,0.876670,-0.364413,0.546302,0.945127
7.000000,0.461289,-0.189682,0.099499,0.012222,0.617449,0.259367,0.876817,-0.358082,0.581102,0.941571
7.500000,0.463287,-0.190874,0.100116,0.012374,0.614517,0.262590,0.877106,-0.351927,0.616757,0.938090
8.000000,0.465259,-0.192059,0.100725,0.012525,0.611813,0.265796,0.877609,-0.346017,0.653003,0.934680
8.500000,0.467206,-0.193237,0.101328,0.012676,0.609392,0.268987,0.878379,-0.340405,0.689534,0.931340
9.000000,0.469130,-0.194407,0.101924,0.012825,0.607289,0.272163,0.879452,-0.335126,0.725999,0.928066
9.500000,0.471030,-0.195572,0.102515,0.012974,0.605530,0.275325,0.880855,-0.330205,0.762006,0.924856
10.000000,0.472908,-0.196730,0.103099,0.013123,0.604128,0.278473,0.882601,-0.325655,0.797125,0.921707
10.500000,0.474765,-0.197882,0.103678,0.013270,0.603089,0.281608,0.884697,-0.321482,0.830901,0.918617
11.000000,0.476600,-0.199028,0.104251,0.013418,0.602413,0.284729,0.887142,-0.317684,0.862857,0.915584
11.500000,0.478415,-0.200169,0.104818,0.013564,0.602094,0.287838,0.889932,-0.314256,0.892509,0.912606
12.000000,0.480210,-0.201304,0.105381,0.013710,0.602122,0.290934,0.893057,-0.311188,0.919380,0.909681
12.500000,0.481986,-0.202434,0.105938,0.013855,0.602486,0.294019,0.896505,-0.308467,0.943014,0.906808
13.000000,0.483743,-0.203559,0.106490,0.014000,0.603171,0.297092,0.900262,-0.306079,0.962991,0.903984
13.500000,0.485482,-0.204679,0.107037,0.014144,0.604160,0.300153,0.904313,-0.304007,0.978942,0.901208
14.000000,0.487203,-0.205794,0.107580,0.014288,0.605438,0.303203,0.908641,-0.302234,0.990563,0.898478
