P_GPa,Delta_HF_meV,m_HF,Z_BR,U_c_eV,J_Hub_meV,J_Em_meV,enh_Hub,enh_Emery,overpred
0.0,411.033,0.2740,0.0000,0.7710,493.067,267.602,1.0000,1.0000,0
0.5,408.067,0.2720,0.0000,0.7757,498.781,274.808,1.0116,1.0269,0
1.0,405.151,0.2701,0.0000,0.7803,504.423,282.028,1.0230,1.0539,0
1.5,402.284,0.2682,0.0000,0.7848,509.995,289.262,1.0343,1.0809,0
2.0,399.462,0.2663,0.0000,0.7892,515.500,296.513,1.0455,1.1080,1
2.5,396.685,0.2645,0.0000,0.7936,520.942,303.780,1.0565,1.1352,1
3.0,393.950,0.2626,0.0000,0.7979,526.322,311.063,1.0674,1.1624,1
3.5,391.256,0.2608,0.0000,0.8021,531.644,318.363,1.0782,1.1897,1
4.0,388.600,0.2591,0.0000,0.8063,536.910,325.680,1.0889,1.2170,1
4.5,385.983,0.2573,0.0000,0.8104,542.121,333.015,1.0995,1.2444,1
5.0,383.401,0.2556,0.0000,0.8145,547.280,340.368,1.1100,1.2719,1
5.5,380.855,0.2539,0.0000,0.8185,552.390,347.739,1.1203,1.2995,1
6.0,378.343,0.2522,0.0000,0.8224,557.450,355.129,1.1306,1.3271,1
6.5,375.863,0.2506,0.0000,0.8264,562.465,362.537,1.1407,1.3548,1
7.0,373.415,0.2489,0.0000,0.8302,567.434,369.965,1.1508,1.3825,1
7.5,370.997,0.2473,0.0000,0.8340,572.359,377.411,1.1608,1.4103,1
8.0,368.609,0.2457,0.0000,0.8378,577.243,384.877,1.1707,1.4382,1
8.5,366.250,0.2442,0.0000,0.8415,582.085,392.362,1.1805,1.4662,1
9.0,363.919,0.2426,0.0000,0.8452,586.888,399.866,1.1903,1.4943,1
9.5,361.616,0.2411,0.0000,0.8489,591.652,407.391,1.1999,1.5224,1
10.0,359.338,0.2396,0.0000,0.8525,596.380,414.935,1.2095,1.5506,1
10.5,357.087,0.2381,0.0000,0.8561,601.071,422.499,1.2190,1.5788,1
11.0,354.860,0.2366,0.0000,0.8596,605.727,430.083,1.2285,1.6072,1
11.5,352.658,0.2351,0.0000,0.8631,610.349,437.687,1.2379,1.6356,1
12.0,350.480,0.2337,0.0000,0.8666,614.937,445.311,1.2472,1.6641,1
12.5,348.324,0.2322,0.0000,0.8700,619.494,452.956,1.2564,1.6926,1
13.0,346.192,0.2308,0.0000,0.8734,624.019,460.620,1.2656,1.7213,1
13.5,344.081,0.2294,0.0000,0.8768,628.513,468.305,1.2747,1.7500,1
14.0,341.992,0.2280,0.0000,0.8802,632.978,476.010,1.2838,1.7788,1
14.5,339.925,0.2266,0.0000,0.8835,637.413,483.736,1.2928,1.8077,1
15.0,337.877,0.2253,0.0000,0.8868,641.820,491.482,1.3017,1.8366,1
15.5,335.850,0.2239,0.0000,0.8900,646.200,499.249,1.3106,1.8656,1
16.0,333.843,0.2226,0.0000,0.8933,650.552,507.035,1.3194,1.8947,1
16.5,331.855,0.2212,0.0000,0.8965,654.878,514.843,1.3282,1.9239,1
17.0,329.885,0.2199,0.0000,0.8996,659.178,522.671,1.3369,1.9532,1
17.5,327.935,0.2186,0.0000,0.9028,663.453,530.519,1.3456,1.9825,1
18.0,326.002,0.2173,0.0000,0.9059,667.703,538.388,1.3542,2.0119,1
18.5,324.087,0.2161,0.0000,0.9090,671.930,546.277,1.3628,2.0414,1
19.0,322.190,0.2148,0.0000,0.9121,676.132,554.187,1.3713,2.0709,1
19.5,320.310,0.2135,0.0000,0.9152,680.312,562.117,1.3798,2.1006,1
20.0,318.447,0.2123,0.0000,0.9182,684.469,570.068,1.3882,2.1303,1
20.5,316.600,0.2111,0.0000,0.9213,688.604,578.039,1.3966,2.1601,1
21.0,314.769,0.2098,0.0000,0.9243,692.717,586.031,1.4049,2.1899,1
21.5,312.954,0.2086,0.0000,0.9272,696.809,594.043,1.4132,2.2199,1
22.0,311.155,0.2074,0.0000,0.9302,700.881,602.076,1.4215,2.2499,1
22.5,309.371,0.2062,0.0000,0.9331,704.932,610.129,1.4297,2.2800,1
23.0,307.603,0.2051,0.0000,0.9360,708.963,618.203,1.4379,2.3102,1
23.5,305.849,0.2039,0.0000,0.9389,712.974,626.297,1.4460,2.3404,1
24.0,304.110,0.2027,0.0000,0.9418,716.966,634.411,1.4541,2.3707,1
24.5,302.385,0.2016,0.0000,0.9447,720.939,642.546,1.4622,2.4011,1
25.0,300.675,0.2004,0.0000,0.9475,724.893,650.701,1.4702,2.4316,1
25.5,298.978,0.1993,0.0000,0.9504,728.830,658.876,1.4782,2.4621,1
26.0,297.295,0.1982,0.0000,0.9532,732.748,667.072,1.4861,2.4928,1
26.5,295.626,0.1971,0.0000,0.9560,736.649,675.288,1.4940,2.5235,1
27.0,293.970,0.1960,0.0000,0.9587,740.533,683.524,1.5019,2.5543,1
27.5,292.327,0.1949,0.0000,0.9615,744.399,691.780,1.5097,2.5851,1
28.0,290.697,0.1938,0.0000,0.9642,748.249,700.057,1.5175,2.6160,1
28.5,289.080,0.1927,0.0000,0.9670,752.083,708.353,1.5253,2.6470,1
29.0,287.476,0.1917,0.0000,0.9697,755.900,716.670,1.5331,2.6781,1
29.5,285.884,0.1906,0.0000,0.9724,759.702,725.007,1.5408,2.7093,1
30.0,284.304,0.1895,0.0000,0.9751,763.488,733.364,1.5484,2.7405,1
