P_GPa,Stoner,lambda_d,lambda_s,ratio_d_s,omega_sf_eV,lambda_med
0.0,0.34296,0.004537,-0.038967,0.1164,0.574740,0.089743
2.0,0.32916,0.004202,-0.036490,0.1152,0.611412,0.081758
4.0,0.30199,0.003679,-0.032764,0.1123,0.693401,0.068164
6.0,0.27116,0.003140,-0.028895,0.1087,0.806357,0.054555
8.0,0.24486,0.002696,-0.025634,0.1052,0.925173,0.044118
10.0,0.22586,0.002371,-0.023158,0.1024,1.028272,0.037114
12.0,0.21320,0.002158,-0.021395,0.1009,1.107153,0.032703
14.0,0.20489,0.002042,-0.020239,0.1009,1.164192,0.030055
16.0,0.19923,0.002015,-0.019621,0.1027,1.205816,0.028629
18.0,0.19504,0.002076,-0.019525,0.1063,1.238166,0.028139
20.0,0.19157,0.002228,-0.019992,0.1115,1.265992,0.028459
22.0,0.18830,0.002470,-0.021119,0.1169,1.293174,0.029527
24.0,0.18477,0.002766,-0.022999,0.1202,1.323639,0.031177
26.0,0.18055,0.003019,-0.025440,0.1187,1.361579,0.032860
28.0,0.17553,0.003128,-0.027329,0.1144,1.409157,0.033509
30.0,0.17026,0.003103,-0.027050,0.1147,1.462009,0.032302
