P,Tc_onset_model,C_coh,Tc_zero_model,Wtr_model
0.0000,123.6084,0.9710,120.0227,3.5857
0.5000,125.0848,0.9705,121.3898,3.6949
1.0000,126.5208,0.9699,122.7131,3.8077
1.5000,127.9165,0.9693,123.9925,3.9240
2.0000,129.2718,0.9687,125.2280,4.0439
2.5000,130.5869,0.9681,126.4195,4.1674
3.0000,131.8615,0.9674,127.5671,4.2945
3.5000,133.0959,0.9668,128.6706,4.4252
4.0000,134.2899,0.9660,129.7302,4.5596
4.5000,135.4435,0.9653,130.7458,4.6977
5.0000,136.5569,0.9646,131.7174,4.8394
5.5000,137.6298,0.9638,132.6450,4.9848
6.0000,138.6625,0.9630,133.5287,5.1338
6.5000,139.6548,0.9621,134.3683,5.2864
7.0000,140.6067,0.9613,135.1641,5.4426
7.5000,141.5184,0.9604,135.9160,5.6024
8.0000,142.3896,0.9595,136.6240,5.7657
8.5000,143.2206,0.9586,137.2882,5.9324
9.0000,144.0112,0.9576,137.9086,6.1026
9.5000,144.7615,0.9566,138.4854,6.2761
10.0000,145.4714,0.9556,139.0185,6.4529
10.5000,146.1410,0.9546,139.5080,6.6330
11.0000,146.7702,0.9536,139.9540,6.8162
11.5000,147.3591,0.9525,140.3566,7.0025
12.0000,147.9077,0.9514,140.7159,7.1918
12.5000,148.4159,0.9502,141.0319,7.3840
13.0000,148.8838,0.9491,141.3048,7.5790
13.5000,149.3114,0.9479,141.5347,7.7767
14.0000,149.6986,0.9467,141.7216,7.9770
14.5000,150.0454,0.9455,141.8657,8.1797
15.0000,150.3520,0.9442,141.9672,8.3848
15.5000,150.6182,0.9430,142.0261,8.5921
16.0000,150.8440,0.9417,142.0425,8.8015
16.5000,151.0295,0.9403,142.0167,9.0128
17.0000,151.1747,0.9390,141.9488,9.2259
17.5000,151.2796,0.9376,141.8388,9.4407
18.0000,151.3441,0.9362,141.6871,9.6570
18.5000,151.3682,0.9348,141.4937,9.8745
19.0000,151.3520,0.9333,141.2588,10.0933
19.5000,151.2955,0.9318,140.9826,10.3129
20.0000,151.1987,0.9303,140.6652,10.5334
20.5000,151.0615,0.9288,140.3070,10.7545
21.0000,150.8839,0.9273,139.9080,10.9760
21.5000,150.6660,0.9257,139.4684,11.1976
22.0000,150.4078,0.9241,138.9885,11.4193
22.5000,150.1093,0.9225,138.4685,11.6408
23.0000,149.7704,0.9208,137.9086,11.8618
23.5000,149.3911,0.9191,137.3090,12.0822
24.0000,148.9716,0.9174,136.6699,12.3016
24.5000,148.5116,0.9157,135.9917,12.5200
25.0000,148.0114,0.9139,135.2745,12.7369
25.5000,147.4708,0.9122,134.5186,12.9523
26.0000,146.8899,0.9104,133.7242,13.1657
26.5000,146.2686,0.9085,132.8916,13.3770
27.0000,145.6070,0.9067,132.0210,13.5860
27.5000,144.9050,0.9048,131.1129,13.7922
28.0000,144.1628,0.9029,130.1673,13.9955
28.5000,143.3801,0.9010,129.1846,14.1955
29.0000,142.5572,0.8990,128.1652,14.3920
29.5000,141.6939,0.8971,127.1092,14.5847
30.0000,140.7902,0.8951,126.0170,14.7732
